permalink,telep,orsz_fidesz_pc,orsz_lmp_pc,orsz_mszp_pc,orsz_dk_pc,orsz_jobbik_pc,orsz_momentum_pc,orsz_egyutt_pc,orsz_mkkp_pc,orsz_egyeb_pc,jobbik_2019_perc,fidesz_2019_perc,momentum_2019_perc,mi_hazank_2019_perc,mszp_2019_perc,lmp_2019_perc,dk_2019_perc,munkaspart_2019_perc,mkkp_2019_perc,Győztes,Győztes color,Győztes %,Második,Második color,Második %,Harmadik,Harmadik color,Harmadik %,Maradék %,Maradék color,Győztes 2019,Győztes color 2019,Győztes % 2019,Második 2019,Második color 2019,Második % 2019,Harmadik 2019,Harmadik color 2019,Harmadik % 2019,Maradék % 2019,Maradék color 2019
tata,Tata,0.44498394,0.094270561,0.141032345,0.059610069,0.189138717,0.035108688,0.006125345,0.018077239,0.011653096,0.046231588,0.503171702,0.136329427,0.027308892,0.059993549,0.022900763,0.176325126,0.004300613,0.02343834,Fidesz-KDNP,#FFA500,0.577436772,MSZP-DK,#FF3232,0.277635692,JOBBIK,#A8A8A8,0.144927536,0,#FFCAD2,Fidesz-KDNP,#FFA500,0.588248539,DK-JOBBIK-MSZP-MOMENTUM,#AAF624,0.411751461,N/A,#FFFFFF,0,0,#FFCAD2
tatabanya,Tatabánya,0.38617077,0.082006286,0.156155055,0.072079623,0.231796752,0.030120482,0.005055003,0.023022525,0.013593504,0.069655579,0.436266279,0.087943005,0.032037029,0.072287516,0.024640378,0.245360076,0.005218496,0.026591641,Fidesz-KDNP,#FFA500,0.546276045,MSZP-DK-PM-EGYÜTT,#FF3232,0.327500863,JOBBIK,#A8A8A8,0.088925981,0.037297111,#FFCAD2,Fidesz-KDNP,#FFA500,0.53805387,DK-JOBBIK-LMP-MSZP-MOMENTUM-PÁRBESZÉD,#AAF624,0.436552489,Mi Hazánk,#4C924C,0.025393642,0,#FFCAD2
tiszafoldvar,Tiszaföldvár,0.473034826,0.040995025,0.118606965,0.030447761,0.297313433,0.009751244,0.001791045,0.012537313,0.015522388,0.112135177,0.52688172,0.043778802,0.058371736,0.079493088,0.016513057,0.143625192,0.005376344,0.013824885,Független,#E5A3AD,0.532010243,Fidesz-KDNP,#FFA500,0.334507042,JOBBIK,#A8A8A8,0.133482714,0,#FFCAD2,Független,#E5A3AD,0.487891153,Fidesz-KDNP,#FFA500,0.406232798,Földvári Patrióták,#A8A8A8,0.106122275,0,#FFCAD2
tiszafured,Tiszafüred,0.465476407,0.044270359,0.128620878,0.057387502,0.264164693,0.015303334,0.003279286,0.010566588,0.010930953,0.090695627,0.510713237,0.065453478,0.037569709,0.062811858,0.017023775,0.189022601,0.009098914,0.017610801,Fidesz-KDNP,#FFA500,0.51627794,Független,#E5A3AD,0.2228,JOBBIK,#A8A8A8,0.168853256,0.0921,#FFCAD2,Fidesz-KDNP,#FFA500,0.55411329,Mindenki Magyarországa,#1D52E2,0.356953632,Együtt Egymásért Jövőnkért,#F2A175,0.088933078,0,#FFCAD2
tiszakecske,Tiszakécske,0.606635071,0.053994584,0.091909276,0.030467163,0.170616114,0.017264726,0.003723764,0.011679079,0.013710223,0.053405995,0.654768392,0.058583106,0.029155313,0.046866485,0.016621253,0.115258856,0.004632153,0.020708447,FIDESZ,#FFA500,0.63401404,MSZP,#FF3232,0.216975112,JOBBIK,#A8A8A8,0.149010849,0,#FFCAD2,Fidesz-KDNP,#FFA500,1,N/A,#FFFFFF,0,N/A,#FFFFFF,0,0,#FFCAD2
tiszaujvaros,Tiszaújváros,0.329069564,0.07192921,0.214035395,0.04678465,0.265901524,0.038461538,0.005344314,0.018048011,0.010425793,0.093783494,0.369060379,0.091818507,0.030903894,0.156127188,0.021614862,0.209003215,0.006252233,0.021436227,MSZP,#FF3232,0.719449511,Fidesz-KDNP,#FFA500,0.257834522,MUNKÁSPÁRT,#F2A175,0.022715968,0,#FFCAD2,Tiszaújvárosi Lokálpatrióták-MSZP,#FF3232,0.589465748,Fidesz-KDNP-Városért Egyesület,#FFA500,0.337243261,Független,#E5A3AD,0.073290991,0,#FFCAD2
tiszavasvari,Tiszavasvári,0.460246914,0.036872428,0.101069959,0.043292181,0.306831276,0.020082305,0.003621399,0.014156379,0.01382716,0.104305215,0.453622681,0.079453973,0.042352118,0.070353518,0.02100105,0.198459923,0.008750438,0.021701085,JOBBIK,#A8A8A8,0.52102523,Dr. Hosszú József,#E5A3AD,0.4636,Takács Zoltán Attila,#E5A3AD,0.0154,0,#FFCAD2,KÖTE,#F2A175,0.538473751,Fidesz-KDNP,#FFA500,0.461526249,N/A,#FFFFFF,0,0,#FFCAD2
tokol,Tököl,0.422282609,0.071376812,0.127536232,0.060688406,0.239311594,0.038224638,0.007608696,0.020652174,0.012318841,0.073247406,0.502357749,0.10028293,0.029236089,0.061301478,0.024834958,0.176045269,0.003458032,0.029236089,Fidesz-KDNP,#FFA500,0.575409836,Eperjesiné Farkas Mária Zsuzsanna,#E5A3AD,0.2508,Seres Csaba,#E5A3AD,0.1348,0.0389,#FFCAD2,Fidesz-KDNP,#FFA500,0.576350222,Civil Kontroll,#F2A175,0.3965865,Független,#E5A3AD,0.027063278,0,#FFCAD2
tolna,Tolna,0.513675214,0.105641026,0.121709402,0.056068376,0.157094017,0.018119658,0.002222222,0.011965812,0.013504274,0.045454545,0.557876906,0.070581592,0.03190288,0.067193676,0.020045172,0.185206098,0.002540937,0.019198193,Fidesz-KDNP,#FFA500,0.589049523,Független,#E5A3AD,0.410950477,N/A,#FFFFFF,0,0,#FFCAD2,Fidesz-KDNP,#FFA500,0.641618975,Balogh Zoltán,#E5A3AD,0.252629247,Virányi Mihály,#F2A175,0.058750988,0.04700079,#FFCAD2
torokbalint,Törökbálint,0.414443117,0.113367848,0.179344219,0.059869906,0.142041683,0.046462233,0.009823444,0.025089606,0.009557945,0.03686887,0.456411188,0.167816927,0.023428987,0.068289139,0.030512169,0.181620051,0.002361061,0.032691609,Fidesz-KDNP,#FFA500,0.338471419,BPKE,#F2A175,0.16399058,Független,#E5A3AD,0.154142582,0.343395419,#FFCAD2,Fidesz-KDNP,#FFA500,0.508636948,Törökbálint Holnap Egyesület,#F2A175,0.419547952,MSZP-LMP-PÁRBESZÉD-SZOLIDARITÁS,#FF3232,0.0718151,0,#FFCAD2
torokszentmiklos,Törökszentmiklós,0.427556704,0.054725967,0.089192025,0.035596093,0.338041811,0.024215029,0.003955121,0.015739769,0.01097748,0.105588096,0.468101947,0.04923223,0.149596327,0.053823017,0.009181574,0.141681178,0.006807029,0.015988602,JOBBIK,#A8A8A8,0.477223703,Fidesz-KDNP,#FFA500,0.365943408,WAPKE-MSZP-SZOLIDARITÁS-ÉRDEKVÉDŐK,#FF3232,0.156832889,0,#FFCAD2,Fidesz-KDNP,#FFA500,0.441734044,OTTHONUNK SZENTMIKLÓS EGYESÜLET,#F2A175,0.424497182,Fejes Tibor,#E5A3AD,0.083520969,0.050247806,#FFCAD2
ujfeherto,Újfehértó,0.551910828,0.036146497,0.116878981,0.024681529,0.235031847,0.016719745,0.002547771,0.005254777,0.010828025,0.093594424,0.624626618,0.054098905,0.024228344,0.052107534,0.012280119,0.122137405,0.004646532,0.012280119,Független,#E5A3AD,0.5067,Fidesz-KDNP,#FFA500,0.402481903,JOBBIK,#A8A8A8,0.068459152,0.023,#FFCAD2,Fidesz-KDNP,#FFA500,0.499918665,Nagy Sándor,#E5A3AD,0.434416677,Dr. Varga Sándor,#F2A175,0.040885541,0.024779116,#FFCAD2
ullo,Üllő,0.438996579,0.071998697,0.09952761,0.05961883,0.263886626,0.026388663,0.008470435,0.018081121,0.013031438,0.072056738,0.504113475,0.101843972,0.046241135,0.04822695,0.022978723,0.170496454,0.004822695,0.029219858,Független,#E5A3AD,0.726199262,JOBBIK,#A8A8A8,0.154612546,DK-EGYÜTT-MSZP,#0000CE,0.119188192,0,#FFCAD2,Fidesz-KDNP,#FFA500,0.609703627,Üllő Te Vagy,#F2A175,0.390296373,N/A,#FFFFFF,0,0,#FFCAD2
vac,Vác,0.462255271,0.110410392,0.104998117,0.055722892,0.197006777,0.030779367,0.008989081,0.018966491,0.010871611,0.058990867,0.512576733,0.105554724,0.036532415,0.061536158,0.027249588,0.167839497,0.003593352,0.026126666,Fidesz-KDNP,#FFA500,0.40779178,MSZP-DK,#FF3232,0.256815748,Dr. Néveri István,#E5A3AD,0.0914,0.244,#FFCAD2,Fidesz-KDNP,#FFA500,0.517645784,"MOMENTUM-DK-Vácért Lokálpatrióta Egyesület-JOBBIK-LMP-Szavad Egyesület-MMM-MSZP-PÁRBESZÉD	",#AAF624,0.384370163,Dr. Néveri István,#E5A3AD,0.046794787,0.051189267,#FFCAD2
varpalota,Várpalota,0.464057654,0.055373107,0.112297026,0.071428571,0.236818099,0.024265645,0.004287539,0.017241379,0.01423098,0.092528302,0.459773585,0.082113208,0.041509434,0.06309434,0.022490566,0.20709434,0.005735849,0.025660377,Fidesz-KDNP,#FFA500,0.380318285,Huszárné Bacsárdi Valéria,#E5A3AD,0.1945,MSZP,#FF3232,0.101331601,0.3239,#FFCAD2,Fidesz-KDNP,#FFA500,0.492308539,DK-JOBBIK-MSZP-PÁRBESZÉD-MOMENTUM,#AAF624,0.470562957,Mi Hazánk-MIÉP-FKGP,#4C924C,0.037128504,0,#FFCAD2
vecses,Vecsés,0.435823525,0.088638001,0.115221395,0.071502923,0.20626151,0.039714949,0.011530147,0.021298743,0.010008808,0.049428571,0.508571429,0.117857143,0.028857143,0.054714286,0.024428571,0.183142857,0.002714286,0.030285714,Fidesz-KDNP,#FFA500,0.773750477,MSZP-EGYÜTT-DK-PM,#FF3232,0.127813812,JOBBIK,#A8A8A8,0.072682182,0.025753529,#FFCAD2,Fidesz-KDNP,#FFA500,0.664953593,Momentum-LMP,#D03EEC,0.165844626,MSZP,#FF3232,0.136482239,0.032719542,#FFCAD2
veresegyhaz,Veresegyház,0.422158923,0.101267066,0.107258619,0.094391514,0.167567037,0.058540418,0.008348885,0.024948433,0.015519104,0.039025098,0.451182359,0.158566662,0.030030466,0.05077615,0.028289569,0.200203105,0.003336718,0.038589874,Független,#E5A3AD,0.874158816,Fidesz-KDNP,#FFA500,0.125841184,N/A,#FFFFFF,0,0,#FFCAD2,Pásztor Béla,#E5A3AD,0.652326548,Fidesz-KDNP,#FFA500,0.318491528,Veres Károly,#E5A3AD,0.029181925,0,#FFCAD2
veszprem,Veszprém,0.436400888,0.100563428,0.145723066,0.057481077,0.177622218,0.042285584,0.007370098,0.022024927,0.010528712,0.051755846,0.46698485,0.126499693,0.028636483,0.072116648,0.032314563,0.18639986,0.00341536,0.031876697,Fidesz-KDNP,#FFA500,0.53885185,MSZP-DK-EGYÜTT-PM-MLP-LOKÁLPATRIÓTÁK-VP,#FF3232,0.317835861,JOBBIK,#A8A8A8,0.073101658,0.070210632,#FFCAD2,Fidesz-KDNP,#FFA500,0.562224363,DK-JOBBIK-LMP-MSZP-MOMENTUM-PÁRBESZÉD,#AAF624,0.437775637,N/A,#FFFFFF,0,0,#FFCAD2
zalaegerszeg,Zalaegerszeg,0.478951984,0.088604473,0.12705547,0.053798509,0.183402763,0.03483337,0.004302784,0.016443762,0.012606884,0.055665113,0.535631051,0.091654715,0.036348153,0.060460739,0.025501972,0.169146648,0.003630333,0.021961276,Fidesz-KDNP,#FFA500,0.635657525,JOBBIK,#A8A8A8,0.111250523,MSZP,#FF3232,0.105634224,0.147457728,#FFCAD2,Fidesz-KDNP,#FFA500,0.599708724,Tiéd a Város Egyesület-DK-JOBBIK-LMP-MSZP-MOMENTUM,#AAF624,0.346250366,Mi Hazánk,#4C924C,0.027258129,0.026782781,#FFCAD2
